oi,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,GS,702GS2031,GOI LOAN  7.02% 2031,102.52,102.5,102.5,102,102,9435500,92500,N, ,8,109,100.9
N,GS,704GS2029,GOI LOAN  7.04% 2029,103.5,103,103,102.86,102.86,452957.14,4399,N, ,7,106.52,101.75
N,GS,706GS2028,GOI LOAN  7.06% 2028,104,104,104,103.5,103.5,499150,4800,N, ,4,106.1,101.46
N,GS,706GS2046,GOI LOAN 7.06% 2046,100,99.29,99.29,99.18,99.18,446499.29,4501,N, ,4,106.25,97.81
N,GS,709GS2054,GOI LOAN  7.09% 2054,96.35,97.8,97.8,95.15,96,2227926.3,23183,N, ,30,108,95.15
N,GS,709GS2074,GOI LOAN   7.09% 2074,96.07,95.5,95.95,94.65,95.63,11975503.45,125323,N, ,84,108.15,94.65
N,GS,710GS2029,GOI LOAN 7.10% 2029,104.78,104.01,104.01,103.79,103.79,4276968.79,41201,N, ,10,108.54,100
N,GS,717GS2028,GOI LOAN 7.17% 2028,101.02,102.1,102.1,102.1,102.1,20011.6,196,N, ,1,106,101.02
N,GS,717GS2030,GOI LOAN  7.17% 2030,104.6,104.55,104.55,103.9,103.91,3154724.87,30224,N, ,21,111.6,102.5
N,GS,718GS2033,GOI LOAN  7.18% 2033,103.28,102.7,102.7,101.5,102.25,45498572.02,446799,N, ,124,111,101.5
N,GS,718GS2037,GOI LOAN  7.18% 2037,103.45,103,103,101.5,101.79,32254579.94,316302,N, ,27,109.7,101
N,GS,71GS2034,GOI LOAN  7.1% 2034,104.6,103.01,103.01,102,102,1436525,14000,N, ,4,106.89,102
N,GS,724GS2055,GOI LOAN  7.24% 2055,98.99,98.22,99.39,97.51,97.77,5934268.55,60694,N, ,46,103.8,97.51
N,GS,725GS2063,GOI LOAN  7.25% 2063,98.45,98.1,98.6,97.5,97.66,12158602.75,124215,N, ,163,109.85,96.6
N,GS,726GS2029,GOI LOAN 7.26% 2029,103.25,102.85,102.85,102.85,102.85,58110.25,565,N, ,1,107.05,101.15
N,GS,726GS2032,GOI LOAN  7.26% 2032,103.5,102.15,103,101.77,101.91,721205,7074,N, ,8,112,101.4
